user_id,target_item_id,most_similar_history_item,similarity_to_target,rank,history_length
1,3,1,0.699453592300415,6419,2
2,10,8,0.8113576173782349,48,4
3,17,16,0.698457658290863,8124,6
4,23,21,0.8411604762077332,71,3
5,30,29,0.814453125,64,6
6,47,46,0.7320482134819031,4232,8
7,54,50,0.7701345682144165,641,4
8,58,56,0.7570924162864685,480,2
9,81,78,0.7114068269729614,4970,8
10,89,59,0.716720461845398,4730,7
11,95,94,0.6813316345214844,6289,4
12,102,83,0.7630105018615723,2614,6
13,107,106,0.8068881034851074,230,3
14,114,83,0.8228477239608765,55,6
15,120,117,0.7198655605316162,3432,4
16,83,124,0.7694098949432373,756,2
17,83,127,0.693476140499115,6098,2
18,133,132,0.8127406239509583,233,3
19,141,137,0.8248100876808167,164,6
20,177,171,0.6896279454231262,4443,8
21,183,182,0.8298889994621277,208,5
22,194,190,0.7003190517425537,7476,8
23,206,201,0.8569506406784058,84,8
24,212,209,0.7828487753868103,1557,6
25,231,223,0.7860726118087769,1458,8
26,238,234,0.846291720867157,56,6
27,235,315,0.8397708535194397,41,8
28,214,322,0.8508466482162476,60,6
29,338,333,0.7275327444076538,3412,8
30,347,345,0.8247232437133789,153,6
31,351,350,0.7597463726997375,2650,2
32,423,416,0.7832775115966797,1245,8
33,432,419,0.9381259083747864,1,8
34,85,441,0.9069230556488037,5,8
35,454,451,0.8483152389526367,58,8
36,470,466,0.9280964136123657,3,8
37,476,460,0.8389049768447876,64,4
38,480,460,0.7412761449813843,3182,3
39,460,485,0.8123546838760376,703,3
40,496,495,0.7537086606025696,2260,8
41,500,499,0.8132575750350952,108,2
42,507,504,0.8322588801383972,147,7
43,517,512,0.7321019172668457,5070,7
44,562,561,0.7513481974601746,700,8
45,567,460,0.6652780771255493,9823,3
46,571,460,0.7448928356170654,2937,2
47,578,575,0.8102834224700928,18,5
48,460,583,0.8280233144760132,53,3
49,592,460,0.7567023038864136,2197,8
50,612,477,0.959636390209198,1,8
51,620,617,0.7899216413497925,78,6
52,169,622,0.8709399104118347,5,4
53,629,625,0.7830116748809814,1052,6
54,642,636,0.8360971212387085,15,8
55,649,646,0.9143199920654297,14,5
56,8,447,0.7765499949455261,342,7
57,659,658,0.8317062854766846,56,4
58,667,663,0.827361524105072,102,6
59,673,672,0.8331356048583984,144,4
60,680,677,0.8410773873329163,27,5
61,684,666,0.7521448135375977,104,2
62,689,688,0.6680302619934082,10814,3
63,712,711,0.7489818334579468,3061,8
64,471,717,0.7485088109970093,3210,6
65,666,721,0.7149112224578857,6401,7
66,666,730,0.6667875051498413,6887,2
67,736,735,0.7318335771560669,3668,3
68,741,740,0.7475544810295105,258,4
69,745,666,0.8629469871520996,1,2
70,666,771,0.705936074256897,6575,8
71,776,775,0.769862711429596,2469,2
72,99,779,0.721518874168396,3365,2
73,786,784,0.804049015045166,276,6
74,793,789,0.7781524062156677,2349,7
75,796,794,0.5903055667877197,11823,2
76,799,666,0.7241463661193848,456,2
77,804,803,0.8657366633415222,25,3
78,808,806,0.7029199600219727,4372,2
79,822,817,0.8867923021316528,35,8
80,833,831,0.8392889499664307,24,8
81,857,849,0.7637683153152466,2471,8
82,863,301,0.8230765461921692,198,8
83,876,501,0.7781052589416504,1888,8
84,883,878,0.8194797039031982,31,8
85,8,888,0.7603704333305359,2935,8
86,889,895,0.766838788986206,1507,6
87,954,952,0.7831698060035706,752,8
88,900,889,0.922501266002655,1,8
89,965,889,0.7047476768493652,3318,3
90,974,970,0.7461328506469727,3237,7
91,345,977,0.8254518508911133,128,3
92,900,889,0.922501266002655,1,8
93,624,987,0.8586903810501099,5,8
94,1009,1006,0.7699522376060486,955,8
95,1032,1031,0.7772945165634155,477,8
96,1077,399,0.7322729825973511,2750,8
97,1081,1080,0.7307723164558411,1093,2
98,1085,510,0.9230585694313049,1,2
99,1091,1090,0.78754723072052,792,5
100,523,1096,0.8704647421836853,15,8
101,1105,1104,0.9433284997940063,1,8
102,494,1114,0.8164665699005127,219,8
103,1125,621,0.7883065342903137,822,8
104,1109,1128,0.6793898940086365,1822,5
105,1109,1135,0.7151389122009277,4350,6
106,1148,491,0.8229221701622009,240,8
107,415,374,0.7880765795707703,596,4
108,1109,1178,0.8222365975379944,110,8
109,1185,1184,0.6905603408813477,5943,3
110,1188,790,0.7530148029327393,391,6
111,1205,1199,0.7546263933181763,6162,8
112,802,1208,0.7626110315322876,370,3
113,1213,1212,0.7535741329193115,528,2
114,338,775,0.7364314794540405,5527,8
115,1242,1109,0.8386216163635254,70,4
116,1109,1246,0.7365385293960571,3475,3
117,333,1249,0.7712475061416626,208,5
118,1274,1271,0.8075905442237854,138,8
119,554,1295,0.7550609707832336,2010,8
120,1304,1303,0.8607507348060608,14,3
121,511,1308,0.8014014959335327,172,5
