user_id,target_item_id,query_item,similarity_to_target,rank,history_length,most_similar_history_item
1,54,53,0.8596063852310181,75,8,53
2,59,58,0.8288205862045288,772,2,58
3,66,63,0.8408075571060181,1935,4,63
4,72,71,0.7738572359085083,14233,3,71
5,83,82,0.8440974950790405,2853,8,82
6,91,90,0.8354558944702148,2005,5,90
7,100,99,0.8084099888801575,6617,6,99
8,115,114,0.8800803422927856,1700,8,114
9,120,119,0.891359806060791,60,2,119
10,126,125,0.788238525390625,9426,3,125
11,137,136,0.8855713605880737,110,8,136
12,142,141,0.772995114326477,12966,2,141
13,263,262,0.8230446577072144,1261,8,262
14,269,267,0.8046146631240845,8447,3,267
15,274,273,0.9383091330528259,6,2,273
16,281,280,0.7150996327400208,12725,4,280
17,288,287,0.8511375188827515,3419,4,287
18,303,302,0.8192728757858276,11020,8,302
19,385,378,0.8701014518737793,2338,8,378
20,599,595,0.9687686562538147,1,8,595
21,603,602,0.850845217704773,548,2,602
22,610,609,0.87012779712677,1466,4,609
23,614,537,0.8770449161529541,238,2,537
24,619,618,0.7865980863571167,9467,3,618
25,627,626,0.8740109801292419,592,6,626
26,639,516,0.7384217977523804,10506,8,516
27,664,663,0.8215502500534058,3617,8,663
28,626,668,0.8198361396789551,4376,2,668
29,675,674,0.8671098351478577,367,5,674
30,110,688,0.6669831275939941,15641,8,688
31,760,759,0.854241669178009,835,3,759
32,769,768,0.8412395715713501,1163,6,768
33,775,774,0.8853108882904053,139,3,774
34,780,779,0.7353146076202393,17647,2,779
35,784,783,0.8718854784965515,232,2,783
36,843,841,0.8596794605255127,3312,8,841
37,334,866,0.7778716087341309,12603,8,866
38,791,44,0.7922690510749817,12376,8,44
39,533,887,0.8241678476333618,4883,5,887
40,918,907,0.9522581696510315,12,8,907
41,923,922,0.8758623600006104,726,2,922
42,1008,1006,0.8541274070739746,351,8,1006
43,1021,1020,0.8687715530395508,866,8,1020
44,1034,1033,0.8302096128463745,4224,8,1033
45,1113,1098,0.8510395288467407,782,8,1098
46,1124,1123,0.7835322618484497,7929,8,1123
47,1134,1133,0.8211629390716553,4179,8,1133
48,1141,1140,0.8553628921508789,769,4,1140
49,1146,668,0.8342722654342651,2318,3,668
50,1152,1150,0.7980474233627319,12245,3,1150
51,1156,642,0.8802285194396973,1548,2,642
52,1160,1159,0.8075447082519531,6172,2,1159
53,825,1166,0.870105504989624,263,5,1166
54,1172,1171,0.7846000790596008,7781,4,1171
55,1182,1181,0.7719742059707642,7695,7,1181
56,1189,1188,0.8168312311172485,5028,5,1188
57,1197,1196,0.8436140418052673,1750,6,1196
58,1208,1207,0.8276104927062988,4786,8,1207
59,1217,1216,0.8609482049942017,1793,8,1216
60,1223,1222,0.8537471890449524,372,3,1222
61,1231,1230,0.8913077712059021,73,5,1230
62,1238,1237,0.8056682348251343,7806,4,1237
63,1275,1273,0.8360601663589478,1266,8,1273
64,326,1297,0.846283495426178,4590,8,1297
65,1169,1305,0.8615339994430542,1765,6,1305
66,1232,1337,0.8043384552001953,6740,8,1337
67,1375,1345,0.7317010164260864,16117,8,1345
68,798,1384,0.8851649761199951,26,8,1384
69,1399,1398,0.8700916767120361,436,8,1398
70,1156,1404,0.8210355043411255,1751,5,1404
71,1411,1410,0.8815488815307617,167,3,1410
72,1416,1415,0.8061431050300598,2813,3,1415
73,1425,1424,0.8034305572509766,11104,6,1424
74,1447,1446,0.8226311802864075,5382,8,1446
75,1450,1449,0.9329624176025391,1,2,1449
76,352,326,0.8458991050720215,2060,6,326
77,1489,1488,0.859427809715271,1854,8,1488
78,1502,1501,0.8163928389549255,4114,8,1501
79,1508,1507,0.7512762546539307,10589,3,1507
80,1526,1525,0.8326122164726257,2883,8,1525
81,1534,1533,0.8345037698745728,4756,6,1533
82,1571,1570,0.8036403656005859,6386,8,1570
83,1588,1587,0.9196255207061768,3,8,1587
84,1593,1592,0.8768894076347351,136,3,1592
85,82,1608,0.8215336203575134,6920,8,1608
86,1626,1625,0.7124965190887451,16840,8,1625
87,1639,1638,0.8326579332351685,3587,8,1638
88,1644,1134,0.7288819551467896,18378,3,1134
89,1665,1664,0.8954789042472839,30,8,1664
90,651,1700,0.8230907320976257,2205,8,1700
91,1731,1730,0.8113011121749878,9263,8,1730
92,1737,261,0.7745198607444763,7134,8,261
93,1752,862,0.8510578870773315,2310,8,862
94,1760,94,0.8975353240966797,49,6,94
95,1338,1801,0.8535481691360474,385,8,1801
96,1808,1807,0.8118240833282471,4906,4,1807
97,1832,1831,0.8578011989593506,494,8,1831
98,1204,763,0.8338479399681091,4537,7,763
99,1854,1612,0.8836619853973389,224,8,1612
100,1859,1858,0.8706783652305603,229,2,1858
101,1867,1864,0.769098162651062,13793,6,1864
102,1171,1893,0.8908606171607971,86,8,1893
103,1907,1906,0.8348435163497925,2446,8,1906
104,247,1942,0.8837881088256836,127,8,1942
105,1948,1947,0.8450207710266113,2500,6,1947
106,1956,499,0.7033600807189941,18874,8,499
107,1973,1972,0.8773359060287476,386,8,1972
108,1986,718,0.8117600679397583,10090,8,718
109,1989,660,0.8305581212043762,2712,3,660
110,2002,2001,0.8480464816093445,1706,8,2001
111,2034,2033,0.8841367959976196,32,8,2033
112,2039,2038,0.8559271693229675,1228,2,2038
113,2044,2043,0.860021710395813,1032,5,2043
114,2058,2050,0.9030168056488037,16,8,2050
115,2092,2090,0.8604997396469116,1277,8,2090
116,2100,2099,0.8643769025802612,1762,8,2099
117,2108,2107,0.8216505646705627,3616,6,2107
118,19,1823,0.8564186692237854,1406,8,1823
119,2191,2190,0.823696494102478,6848,8,2190
120,2211,2209,0.8551334142684937,1550,8,2209
121,2215,2214,0.7605443000793457,6124,3,2214
122,1330,2227,0.8443642854690552,1047,8,2227
123,2231,2230,0.8835310935974121,18,2,2230
124,2242,2241,0.8816889524459839,185,8,2241
125,2246,1292,0.8981934189796448,371,2,1292
126,2276,2275,0.6625112891197205,19222,8,2275
127,2356,383,0.6832334399223328,14336,8,383
128,152,1226,0.9064989686012268,108,2,1226
129,2366,2365,0.8781741857528687,458,6,2365
130,2407,2406,0.7989391684532166,13358,8,2406
131,2411,2410,0.8131776452064514,12315,2,2410
132,2420,2419,0.824044942855835,3759,8,2419
133,2425,2423,0.8490630388259888,1154,3,2423
134,1634,2428,0.6670659780502319,7988,2,2428
135,2437,2436,0.8841611742973328,1034,8,2436
136,2025,2467,0.7489443421363831,13243,8,2467
137,1948,2484,0.8465909957885742,3888,8,2484
138,2490,2489,0.7905682325363159,12816,5,2489
139,2493,2492,0.8337081670761108,889,2,2492
140,2497,2496,0.7129802703857422,18508,3,2496
141,2500,2499,0.8875462412834167,59,2,2499
142,2507,2506,0.8788235187530518,150,8,2506
143,2519,2518,0.7955764532089233,3611,8,2518
144,1206,1206,1.0000001192092896,1,3,1206
145,1825,1825,1.0,1,2,1825
146,2551,2550,0.8591711521148682,1818,8,2550
147,2600,2599,0.8492913842201233,1375,8,2599
148,2604,2603,0.8819326162338257,75,2,2603
149,2609,2608,0.8650811910629272,372,3,2608
150,2627,2626,0.7295846343040466,8413,8,2626
151,2631,668,0.7756633758544922,11678,7,668
152,2650,379,0.8594738841056824,584,8,379
153,1175,2653,0.8681128025054932,405,2,2653
154,2661,2660,0.8381859660148621,4607,8,2660
155,2667,2430,0.7077949643135071,18076,7,2430
156,2689,2688,0.7194850444793701,18393,8,2688
157,952,2712,0.8054608106613159,1057,8,2712
158,2720,2719,0.8538320064544678,2547,8,2719
159,2726,1893,0.8516107797622681,1326,7,1893
160,2731,2730,0.8230420351028442,4152,2,2730
161,2737,2736,0.8526772260665894,1095,5,2736
162,2653,1618,0.8684601187705994,2814,8,1618
163,2751,2750,0.8530637621879578,833,4,2750
164,2759,2757,0.8841210603713989,60,6,2757
165,2781,2587,0.8176737427711487,2946,8,2587
166,2793,2792,0.873785138130188,602,8,2792
167,2797,2796,0.8768274784088135,34,2,2796
168,2807,2427,0.8301200270652771,3288,8,2427
169,2816,2718,0.8632823824882507,770,8,2718
170,2821,1114,0.8146877288818359,4008,4,1114
171,2823,648,0.8489807844161987,3250,4,648
172,1882,2838,0.8439197540283203,2243,8,2838
173,831,2875,0.8885078430175781,213,8,2875
174,2884,2883,0.7718268632888794,14785,8,2883
175,2899,630,0.8283766508102417,5697,8,630
176,2906,2905,0.791717529296875,9218,8,2905
177,2910,2909,0.8082748055458069,4626,2,2909
178,2925,2924,0.7562478184700012,1645,8,2924
179,1514,1423,0.9078592658042908,40,2,1423
180,2664,2929,0.8322519659996033,4915,2,2929
181,2957,2949,0.8709346055984497,14,8,2949
182,840,2960,0.701067328453064,8660,3,2960
183,2967,2966,0.8584136962890625,797,7,2966
184,2989,2101,0.832421064376831,1153,8,2101
185,416,407,0.8646729588508606,121,8,407
186,2829,3005,0.8224744200706482,2865,6,3005
187,1318,3014,0.8686273694038391,942,8,3014
188,763,642,0.8610351085662842,3066,7,642
189,3060,3058,0.8583939075469971,736,8,3058
190,3068,3066,0.9006408452987671,22,6,3066
191,3078,3077,0.8788741827011108,625,8,3077
192,3091,3089,0.7652677893638611,15310,8,3089
193,3095,2760,0.8415995240211487,2226,3,2760
194,3099,2296,0.7942041158676147,2887,3,2296
195,3109,3119,0.8646878600120544,2707,8,3119
196,3124,1282,0.8323138952255249,2420,8,1282
197,3164,3162,0.8826389908790588,247,8,3162
198,2365,3181,0.903874933719635,16,8,3181
199,1668,1983,0.9019391536712646,258,4,1983
200,3226,3225,0.8503901958465576,1630,8,3225
201,3303,3301,0.9252078533172607,39,8,3301
202,3313,3312,0.7399265766143799,9572,8,3312
203,2648,3318,0.8319987058639526,5024,5,3318
204,3324,3322,0.8469280004501343,875,4,3322
205,3333,3332,0.7988630533218384,7862,8,3332
206,3347,3340,0.8514933586120605,396,8,3340
207,641,2897,0.8740326166152954,1470,5,2897
208,3358,3357,0.6967601776123047,8052,7,3357
209,258,3366,0.7241377830505371,15030,8,3366
210,3369,3368,0.8685046434402466,105,2,3368
211,2218,2972,0.8570305109024048,2925,5,2972
212,3404,3403,0.8374572396278381,4425,8,3403
213,3411,3410,0.7121788263320923,18348,4,3410
214,3419,3418,0.7964673042297363,4919,8,3418
215,1815,3425,0.668562650680542,4785,8,3425
216,3428,3427,0.7447201609611511,16801,2,3427
217,3440,3439,0.8563536405563354,823,8,3439
218,3454,3453,0.846871018409729,783,8,3453
219,2372,1285,0.7970532178878784,9463,8,1285
220,3478,3477,0.8263711929321289,4845,8,3477
221,3481,3480,0.8810586929321289,1504,2,3480
222,3485,3484,0.806516706943512,3657,5,3484
223,1382,3492,0.8121292591094971,6338,8,3492
224,3511,3510,0.822023332118988,4777,8,3510
225,2497,3515,0.7349377870559692,12638,5,3515
226,3518,3517,0.8217862844467163,2566,4,3517
227,3525,3524,0.8143578767776489,4354,4,3524
228,3531,1206,0.8606154918670654,1096,7,1206
229,3537,1236,0.8290253281593323,4899,7,1236
230,3376,3557,0.679335355758667,14532,8,3557
231,1955,34,0.8651834726333618,40,8,34
232,364,3573,0.8421573638916016,2108,8,3573
233,2740,1697,0.8560147285461426,1283,6,1697
234,262,1105,0.8013795614242554,6849,5,1105
235,467,462,0.7999777793884277,5704,2,462
236,3591,3591,1.0,1,8,3591
237,3596,3595,0.7590181827545166,15200,3,3595
238,382,381,0.8457185626029968,4800,2,381
239,2601,3611,0.8623433113098145,263,8,3611
240,3616,3614,0.8476393222808838,235,2,3614
241,3624,3623,0.6985087394714355,2035,8,3623
242,3640,3639,0.7952437400817871,4497,8,3639
243,3648,3649,0.8829870223999023,1573,8,3649
244,3156,3679,0.8198251128196716,2324,8,3679
245,3683,3682,0.799795389175415,3097,2,3682
246,3684,1611,0.8822779655456543,784,3,1611
247,3687,855,0.8574538230895996,532,2,855
248,526,3741,0.8619251251220703,1249,8,3741
249,3765,3764,0.8669295310974121,707,8,3764
250,3485,3483,0.8538087606430054,2523,3,3483
251,3773,3772,0.8574678897857666,447,2,3772
252,3688,641,0.7596508264541626,16434,7,641
253,743,3781,0.8223158121109009,6268,3,3781
254,3038,3057,0.8293514847755432,438,5,3057
255,1831,106,0.8872686624526978,181,2,106
256,3793,3792,0.8745489716529846,396,3,3792
257,147,2218,0.8521993160247803,1097,8,2218
